No.,Section No.,Latin Text
1,1,bismillāhir-raḥmānir-raḥīm
2,2,al-ḥamdu lillāhi rabbil-'ālamīn
3,3,ar-raḥmānir-raḥīm
4,4,māliki yaumid-dīn
5,5,iyyāka na'budu wa iyyāka nasta'īn
6,6,ihdinaṣ-ṣirāṭal-mustaqīm
7,7,ṣirāṭallażīna an'amta 'alaihim gairil-magḍụbi 'alaihim wa laḍ-ḍāllīn
8,8,alif lām mīm
9,9,"żālikal-kitābu lā raiba fīh, hudal lil-muttaqīn"
10,10,allażīna yu`minụna bil-gaibi wa yuqīmụnaṣ-ṣalāta wa mimmā razaqnāhum yunfiqụn
11,11,"wallażīna yu`minụna bimā unzila ilaika wa mā unzila ming qablik, wa bil-ākhirati hum yụqinụn"
12,12,ulā`ika 'alā hudam mir rabbihim wa ulā`ika humul-mufliḥụn
13,13,"allāhu lā ilāha illā huw, al-ḥayyul-qayyụm, lā ta`khużuhụ sinatuw wa lā na`ụm, lahụ mā fis-samāwāti wa mā fil-arḍ, man żallażī yasyfa'u 'indahū illā bi`iżnih, ya'lamu mā baina aidīhim wa mā khalfahum, wa lā yuḥīṭụna bisyai`im min 'ilmihī illā bimā syā`, wasi'a kursiyyuhus-samāwāti wal-arḍ, wa lā ya`ụduhụ ḥifẓuhumā, wa huwal-'aliyyul-'aẓīm"
14,14,"lā ikrāha fid-dīn, qat tabayyanar-rusydu minal-gayy, fa may yakfur biṭ-ṭāgụti wa yu`mim billāhi fa qadistamsaka bil-'urwatil-wuṡqā lanfiṣāma lahā, wallāhu samī'un 'alīm"
15,15,"allāhu waliyyullażīna āmanụ yukhrijuhum minaẓ-ẓulumāti ilan-nụr, wallażīna kafarū auliyā`uhumuṭ-ṭāgụtu yukhrijụnahum minan-nụri ilaẓ-ẓulumāt, ulā`ika aṣ-ḥābun-nār, hum fīhā khālidụn"
16,16,"lillāhi mā fis-samāwāti wa mā fil-arḍ, wa in tubdụ mā fī anfusikum au tukhfụhu yuḥāsibkum bihillāh, fa yagfiru limay yasyā`u wa yu'ażżibu may yasyā`, wallāhu 'alā kulli syai`ing qadīr"
17,17,"āmanar-rasụlu bimā unzila ilaihi mir rabbihī wal-mu`minụn, kullun āmana billāhi wa malā`ikatihī wa kutubihī wa rusulih, lā nufarriqu baina aḥadim mir rusulih, wa qālụ sami'nā wa aṭa'nā gufrānaka rabbanā wa ilaikal-maṣīr"
18,18,"lā yukallifullāhu nafsan illā wus'ahā, lahā mā kasabat wa 'alaihā maktasabat, rabbanā lā tu`ākhiżnā in nasīnā au akhṭa`nā, rabbanā wa lā taḥmil 'alainā iṣrang kamā ḥamaltahụ 'alallażīna ming qablinā, rabbanā wa lā tuḥammilnā mā lā ṭāqata lanā bih, wa'fu 'annā, wagfir lanā, war-ḥamnā, anta maulānā fanṣurnā 'alal-qaumil-kāfirīn"
19,19,qul huwallāhu aḥad
20,20,allāhuṣ-ṣamad
21,21,lam yalid wa lam yụlad
22,22,wa lam yakul lahụ kufuwan aḥad
23,23,qul a'ụżu birabbil-falaq
24,24,min syarri mā khalaq
25,25,wa min syarri gāsiqin iżā waqab
26,26,wa min syarrin-naffāṡāti fil-'uqad
27,27,wa min syarri ḥāsidin iżā ḥasad
28,28,qul a'ụżu birabbin-nās
29,29,malikin-nās
30,30,ilāhin-nās
31,31,min syarril-waswāsil-khannās
32,32,allażī yuwaswisu fī ṣudụrin-nās
33,33,minal-jinnati wan-nās
34,34,aṣ-bahnā wa aṣ-baha (amsaynā wa amsal) al-mulku lillāhi wal-ḥamdu lillāhi lā syaríka lah–ụ lā ilaha il-lā huwa wa-ilayyhin nusyyūr (al-maṣīr)
35,35,aṣ-bahnā (amsaynā) 'ala fiṭratil islām wa 'ala kalimatil ikhāṣ wa 'ala dīni nabiyyinā muhammading ṣollaw-lāhu 'alayyhi wa sallam wa 'ala millati a bīnā ibrāhīma hanīfām muslimaw-wamā kāna minal-musyrikīn
36,36,allahumma innī aṣbahtu (amsaytu) mingka fī ni'matiw wa 'afiyatiwwa sitr fa a timma 'alayya ni'mataka wa 'āfiyataka wasitraka fid-dunyā wal ā khirah
37,37,allahumma mā aṣbaha (amsa) bī min ni'matin awbi a hadimmin kholqika famingka wahdaka lā syarīka laka falakal hamdu walakasy syukr 
38,38,yā rabbī lakal hamdu kamā yanbagī lijalā li wajhika wali 'a ẓīmi sulṭānik
39,39,raḍītu billāhi rabbā wabil islāmi dīnā wabimuḥumammadin nabiyyaw warasụlā
40,40,subhānallāhi wa biḥamdihi 'adada khalqihi wa ri ḍā nafsihi wazinata 'ar syihi wamidā da kalimātih
41,41,bismillāhil lażī lā yaḍurru ma'as mihi syai-ung fil arḍi walā fis-samā i wahuwas-samī 'ul 'a līm
42,42,allahumma innā na'użu bika min an-nusyrika bika syai an na' lamuh wa nas taghfiruka limā lā na'lamuh
43,43,a 'użu bikalimā til lāhit tām mā ti min syarri mā khalaq
44,44,allahumma innī a'użu bika minal hammi walhazan wa a 'użubika minal 'ajzi walkasal wa a 'użubika minal jubni wal bukhl wa a 'użubika ming-golabatid daini wa qahrir rijāl
45,45,allahumma 'ā finī fī badanī allahumma 'ā finī fī sam'ī allhumma 'ā finī fī baṣorī 
46,46,allhumma innī a 'użu bika minal kufri wal faqr wa a 'ūżubika min 'azābil qabri lā ilaha illā ang-ta
47,47,allhumma angta rabbī lā ilaha illā angta kholaqtanī wa anā 'abduka wa anā 'ala 'ahdika wawa' dika mas taṭa'tu a 'ūżubika ming syarri māṣana'tu abū ulaka bini' matika alayya wa abū u biżambī faghfirlī fa innahū lā yaghfirużū ba illā angta
48,48,astaghfirullahal 'aẓīmal lażī lā ilaha illā huwal qayyuma wa a tū bu ilayh
49,49,allahumma ṣalli 'ala sayyidinā muhammad wa 'alā ā li sayyidinā muhammad kamā ṣallayta 'ala sayyidinā ibrāhīm wa 'alā āli sayyidinā ibrāhīma wabārik 'ala sayyidinā muhammad wa 'alā āli sayyidinā muhammad kamā barakta 'ala sayyidinā ibrāhīm wa 'ala āli sayyidinā ibrāhīm fil 'ālamīna innaka hamīdum majīd
50,50,subhānallāhi wal hamdu lillāhi wa lā ilaha illāllahu wallāhu akbar
51,51,lā ilaha illāllāhu wahdahu lā syarīkalahu lahul mulku walahul hamdu wahuwa 'ala kulli say ing qadīr 
52,52,subhānakallahumma wa bihamdika asyhadu allā ilaha illā angta astaghfiruka wa atūbu ilāik
